year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2023,Asia,KAZ,Kazakhstan,LTA Langkawi,Kedah,50,15,35
2023,Asia,RUS,Russian Federation,Pejabat Imigresen Desaru Coast,Johor,50,20,30
2023,Asia,TWN,Taiwan,Jeti Kuah Langkawi,Kedah,50,26,24
2023,Asia,BHR,Bahrain,Gelang Patah,Johor,49,24,25
2023,Asia,KHM,Cambodia,Jeti Kuah Langkawi,Kedah,49,39,10
2023,Asia,THA,Thailand,Pasir Gudang,Johor,49,47,2
2023,Asia,BGD,Bangladesh,LTA Ipoh,Perak,48,39,9
2023,Asia,MMR,Myanmar,LT Miri,Sarawak,48,17,31
2023,Asia,SGP,Singapore,LT Bintulu,Sarawak,48,39,9
2023,Asia,HKG,Hong Kong,Pengkalan Hulu (Bukit Berapit),Perak,47,23,24
2023,Asia,MNG,Mongolia,Bukit Kayu Hitam,Kedah,47,21,26
2023,Asia,VNM,Vietnam,Terminal Feri Puteri Harbour,Johor,47,16,31
2023,Asia,BGD,Bangladesh,LTA Subang Terminal 3,Selangor,46,43,3
2023,Asia,MNG,Mongolia,LTA Sultan Ismail Senai,Johor,46,22,24
2023,Asia,NPL,Nepal,Pelabuhan Klang Barat - KMT,Selangor,46,27,19
2023,Asia,PHL,Philippines,Biawak,Sarawak,46,14,32
2023,Asia,THA,Thailand,Jeti Kukup,Johor,46,29,17
2023,Asia,BTN,Bhutan,Bangunan Sultan Iskandar,Johor,45,28,17
2023,Asia,IND,India,Jeti Kuah Langkawi,Kedah,45,29,16
2023,Asia,OMN,Oman,LTA Sultan Ismail Senai,Johor,45,22,23
2023,Asia,BGD,Bangladesh,Tanjung Pengelih,Johor,44,42,2
2023,Asia,KOR,Korea,Tebedu,Sarawak,44,24,20
2023,Asia,LAO,Lao People's Democratic Republic,Tedungan,Sarawak,44,38,6
2023,Asia,MMR,Myanmar,Pejabat Imigresen Desaru Coast,Johor,44,17,27
2023,Asia,MNG,Mongolia,Padang Besar,Perlis,44,29,15
2023,Asia,TWN,Taiwan,LT Tawau,Sabah,44,20,24
2023,Asia,TWN,Taiwan,Pelabuhan Klang Utara,Selangor,44,16,28
2023,Asia,TWN,Taiwan,Pelabuhan Melaka,Melaka,44,21,23
2023,Asia,UZB,Uzbekistan,LTA Langkawi,Kedah,44,30,14
2023,Asia,BGD,Bangladesh,Tedungan,Sarawak,43,34,9
2023,Asia,IND,India,Roro Labuan,Labuan,43,29,14
2023,Asia,JPN,Japan,Terminal Feri Puteri Harbour,Johor,43,28,15
2023,Asia,KHM,Cambodia,Stulang Laut,Johor,43,18,25
2023,Asia,KHM,Cambodia,Sungai Tujuh,Sarawak,43,10,33
2023,Asia,PHL,Philippines,Jeti Pasir Gudang,Johor,43,17,26
2023,Asia,BGD,Bangladesh,Padang Besar,Perlis,42,38,4
2023,Asia,GEO,Georgia,Pelabuhan Tanjung Pelepas,Johor,42,42,0
