country,poe,state,Total_Arrivals
IRQ,LTA Kuala Lumpur Terminal 2,Selangor,2230
TUR,Gelang Patah,Johor,2229
ZAF,Bangunan Sultan Iskandar,Johor,2209
FRA,Bukit Kayu Hitam,Kedah,2209
DEU,Pelabuhan Klang Utara,Selangor,2160
BEL,Bangunan Sultan Iskandar,Johor,2153
JPN,Woodlands Train Checkpoint,Singapore,2145
AFG,LTA Kuala Lumpur Terminal 1,Selangor,2137
EST,LTA Kuala Lumpur Terminal 1,Selangor,2134
GBR,Woodlands Train Checkpoint,Singapore,2126
FRA,LTA Kota Kinabalu,Sabah,2117
AUT,Gelang Patah,Johor,2105
DNK,Bangunan Sultan Iskandar,Johor,2103
RUS,Padang Besar,Perlis,2094
THA,Woodlands Train Checkpoint,Singapore,2092
IRL,Bangunan Sultan Iskandar,Johor,2092
PHL,Pandaruan,Sarawak,2059
COL,LTA Kuala Lumpur Terminal 1,Selangor,2033
ITA,Telaga Harbour Park,Kedah,2011
USA,LTA Ipoh,Perak,2011
MDV,Gelang Patah,Johor,2003
SAU,Bangunan Sultan Iskandar,Johor,1987
KOR,LTA Kuching,Sarawak,1984
FIN,Gelang Patah,Johor,1967
JOR,LTA Kuala Lumpur Terminal 2,Selangor,1966
IRL,LTA Bayan Lepas,Pulau_Pinang,1966
BRA,Bangunan Sultan Iskandar,Johor,1962
VNM,Pengkalan Hulu (Bukit Berapit),Perak,1959
MMR,Woodlands Train Checkpoint,Singapore,1954
NOR,Gelang Patah,Johor,1928
SWE,Telaga Harbour Park,Kedah,1926
MUS,Gelang Patah,Johor,1894
LVA,LTA Kuala Lumpur Terminal 1,Selangor,1886
PRT,Gelang Patah,Johor,1882
DEU,Padang Besar,Perlis,1868
THA,LTA Kota Kinabalu,Sabah,1851
UGA,LTA Kuala Lumpur Terminal 1,Selangor,1825
CHN,Pengkalan Hulu (Bukit Berapit),Perak,1814
LAO,Pengkalan Kubur,Kelantan,1806
JPN,LTA Sultan Ismail Senai,Johor,1774
RUS,LTA Langkawi,Kedah,1765
IDN,LTA Langkawi,Kedah,1763
TWN,LTA Kuching,Sarawak,1762
JPN,LTA Kuching,Sarawak,1762
MEX,Gelang Patah,Johor,1760
NLD,LTA Langkawi,Kedah,1757
AZE,LTA Kuala Lumpur Terminal 1,Selangor,1747
PHL,LTA Langkawi,Kedah,1726
PHL,LTA Kuching,Sarawak,1725
MNG,Gelang Patah,Johor,1720
TJK,LTA Kuala Lumpur Terminal 1,Selangor,1704
THA,Tedungan,Sarawak,1702
CHL,LTA Kuala Lumpur Terminal 1,Selangor,1692
KWT,LTA Kuala Lumpur Terminal 2,Selangor,1687
LAO,Gelang Patah,Johor,1668
SAU,Gelang Patah,Johor,1663
SVN,LTA Kuala Lumpur Terminal 1,Selangor,1660
IND,LTA Ipoh,Perak,1659
BGR,LTA Kuala Lumpur Terminal 2,Selangor,1656
IND,Pos Imigresen Mengkalap,Sarawak,1633
EGY,Sungai Tujuh,Sarawak,1632
GBR,LTA Ipoh,Perak,1630
SGP,Terminal Feri Puteri Harbour,Johor,1625
USA,Sungai Tujuh,Sarawak,1616
DZA,LTA Kuala Lumpur Terminal 2,Selangor,1614
FRA,LTA Subang Terminal 3,Selangor,1600
PAK,Sungai Tujuh,Sarawak,1600
PHL,Dermaga Labuan,Labuan,1596
FIN,Bangunan Sultan Iskandar,Johor,1592
PHL,Pelabuhan Klang Barat - KMT,Selangor,1568
CHN,Padang Besar,Perlis,1565
SWE,LTA Bayan Lepas,Pulau_Pinang,1550
NLD,Telaga Harbour Park,Kedah,1547
SDN,LTA Kuala Lumpur Terminal 2,Selangor,1544
AUT,LTA Bayan Lepas,Pulau_Pinang,1526
RUS,Jeti Kuah Langkawi,Kedah,1523
FRA,LTA Kuching,Sarawak,1510
TKM,LTA Kuala Lumpur Terminal 1,Selangor,1506
CHN,Stulang Laut,Johor,1493
SGP,Tanjung Belungkor,Johor,1486
SYR,LTA Kuala Lumpur Terminal 2,Selangor,1483
KOR,Bukit Kayu Hitam,Kedah,1482
COL,LTA Kuala Lumpur Terminal 2,Selangor,1474
GBR,Pos Imigresen Mengkalap,Sarawak,1472
PAK,LTA Bayan Lepas,Pulau_Pinang,1470
GRC,LTA Kuala Lumpur Terminal 2,Selangor,1467
IDN,LTA Ipoh,Perak,1450
TWN,Sungai Tujuh,Sarawak,1446
JPN,Telaga Harbour Park,Kedah,1444
DNK,LTA Bayan Lepas,Pulau_Pinang,1443
NOR,Bangunan Sultan Iskandar,Johor,1426
VNM,Woodlands Train Checkpoint,Singapore,1425
SYC,LTA Kuala Lumpur Terminal 1,Selangor,1419
PHL,Dermaga Tawau,Sabah,1419
SGP,Pos Imigresen Mengkalap,Sarawak,1404
USA,Padang Besar,Perlis,1384
PER,LTA Kuala Lumpur Terminal 1,Selangor,1382
NLD,Jeti Kuah Langkawi,Kedah,1375
SGP,Jeti Kukup,Johor,1365
NLD,Sungai Tujuh,Sarawak,1362
ITA,LTA Langkawi,Kedah,1361
NLD,LTA Kota Kinabalu,Sabah,1355
XXX,Bangunan Sultan Iskandar,Johor,1354
ROU,Gelang Patah,Johor,1352
KGZ,LTA Kuala Lumpur Terminal 2,Selangor,1344
RUS,Telaga Harbour Park,Kedah,1340
EST,LTA Kuala Lumpur Terminal 2,Selangor,1337
MNG,Bangunan Sultan Iskandar,Johor,1332
FJI,LTA Kuala Lumpur Terminal 1,Selangor,1324
KOR,LTA Langkawi,Kedah,1322
AUT,Bangunan Sultan Iskandar,Johor,1299
AUS,Pelabuhan Klang Barat - SCT,Selangor,1297
CAN,LTA Langkawi,Kedah,1297
JPN,Padang Besar,Perlis,1293
VNM,Pelabuhan Klang Barat - SCT,Selangor,1293
POL,LTA Bayan Lepas,Pulau_Pinang,1288
ZMB,LTA Kuala Lumpur Terminal 1,Selangor,1284
TWN,Bukit Kayu Hitam,Kedah,1282
FRA,Padang Besar,Perlis,1262
KOR,Padang Besar,Perlis,1242
MDV,Bangunan Sultan Iskandar,Johor,1229
KOR,Sungai Tujuh,Sarawak,1226
GHA,LTA Kuala Lumpur Terminal 1,Selangor,1221
